PRO_COM;SEZ;SEZ2011;count;fid;max;min;value
15146;5979;151460005979;3842;2840;77.202018737793;0;7.6395833672241
15146;5992;151460005992;737;2841;44.4684982299805;0;5.34509923306055
15146;5853;151460005853;4516;2842;51.3663215637207;0;3.54450084595051
15146;6049;151460006049;4496;2843;66.0779724121094;0;11.3348601534698
15146;5861;151460005861;21493;2844;100;0;22.9851056157819
15146;5863;151460005863;3526;2845;19.6931495666504;0;0.831461542381594
15146;5872;151460005872;833;2846;64.8495101928711;0;11.7321463741747
15146;5874;151460005874;1195;2847;73.3239212036133;0;17.180772751046
15146;5971;151460005971;611;2848;49.7408714294434;0;13.955479298793
15146;5972;151460005972;612;2849;47.2678642272949;0;10.3183202805862
15146;5980;151460005980;936;2850;88.613883972168;0;37.2971921741453
15146;5982;151460005982;2652;2851;97.8220825195312;0;16.2328843797134
15146;5991;151460005991;705;2852;54.9062271118164;0;6.69428330008865
15146;5996;151460005996;860;2853;82.267463684082;0;13.0481240915698
15146;5998;151460005998;754;2854;86.4135894775391;0;23.0997906996021
15146;5995;151460005995;1605;2855;53.5030784606934;0;6.71400652258567
15146;5981;151460005981;825;2856;70.3306732177734;0;9.40063446969697
15146;5990;151460005990;1525;2857;54.3600120544434;0;2.1787291880123
15146;5878;151460005878;437;2858;22.9680862426758;0;2.70552115363987
15146;5856;151460005856;4113;2859;100;0;37.7451981522003
15146;5860;151460005860;2608;2860;49.9097633361816;0;1.92336923798169
15146;5973;151460005973;1457;2861;78.0795288085938;0;15.4826939987989
15146;5984;151460005984;829;2862;67.4442825317383;0;11.4397334891435
15146;5993;151460005993;921;2863;47.2278060913086;0;4.57919858255293
15146;6036;151460006036;187;2864;48.2529220581055;0;13.6332224473596
15146;5864;151460005864;1333;2865;57.9011573791504;0;13.4940600384471
15146;5873;151460005873;522;2866;60.8868865966797;0;13.502722027658
15146;5875;151460005875;1769;2867;83.4389877319336;0;8.51119983041266
15146;6001;151460006001;2873;2868;57.2460479736328;0;6.41529977375566
15146;6003;151460006003;1104;2869;88.9057998657227;0;13.2259061509284
15146;6047;151460006047;2801;2870;75.9130630493164;0;7.22497475789896
15146;5862;151460005862;1999;2871;74.4749298095703;0;17.352863931966
15146;5970;151460005970;803;2872;53.5824012756348;0;7.32334312733499
15146;5985;151460005985;950;2873;59.1214981079102;0;10.0409518914474
15146;5989;151460005989;761;2874;50.2890472412109;0;8.1524322950887
15146;5999;151460005999;949;2875;43.0946922302246;0;4.74250135833772
15146;6004;151460006004;1044;2876;91.3770523071289;0;12.7095297159363
15146;6005;151460006005;6133;2877;97.7207412719727;0;16.9367790029349
15146;5855;151460005855;1876;2878;63.5082130432129;0;10.8123386277319
15146;5994;151460005994;10969;2879;93.5067901611328;0;22.6118407557662
15146;5560;151460005560;1149;2880;27.0799179077148;0;1.59069494873259
15146;5564;151460005564;1350;2881;53.043270111084;0;11.7252662037037
15146;5576;151460005576;3518;2882;59.8470230102539;0;3.65425523646248
15146;5590;151460005590;400;2883;30.1185359954834;0;5.6081201171875
15146;5555;151460005555;1040;2884;19.1646022796631;0;1.54584561861478
15146;5570;151460005570;926;2885;21.9908008575439;0;1.36158017514849
15146;5575;151460005575;1505;2886;13.250301361084;0;0.870561750545058
15146;5585;151460005585;753;2887;15.763503074646;0;0.971973272275481
15146;5572;151460005572;1100;2888;6.03925561904907;0;0.561373845880682
